snt_id,sdr,sdr_i,si-snr,si-snr_i
1089-134686-0022_8455-210777-0023.wav,20.35863494873047,19.92881965637207,19.885860443115234,19.888774871826172
1089-134686-0023_6829-68771-0020.wav,21.577980041503906,21.532724380493164,21.358177185058594,21.4188175201416
1089-134686-0024_1995-1836-0013.wav,23.218475341796875,23.188085556030273,22.933263778686523,23.006107330322266
1089-134686-0024_5683-32865-0016.wav,22.775447845458984,22.73978042602539,22.383495330810547,22.597379684448242
1089-134686-0024_7176-92135-0042.wav,18.952762603759766,18.856258392333984,18.794483184814453,18.865249633789062
1089-134686-0025_7127-75947-0035.wav,19.457870483398438,19.305482864379883,19.10519027709961,19.23366355895996
1089-134686-0026_8224-274384-0010.wav,19.085323333740234,18.77727699279785,18.618267059326172,18.652555465698242
1089-134686-0028_6829-68771-0025.wav,19.395349502563477,19.28398895263672,19.16299819946289,19.09510612487793
1089-134686-0028_8224-274384-0005.wav,18.66736602783203,18.498374938964844,18.262714385986328,18.23603630065918
1089-134686-0029_121-127105-0007.wav,19.42224884033203,19.371109008789062,19.202701568603516,19.27444839477539
1089-134686-0031_1320-122612-0008.wav,20.422359466552734,20.360958099365234,19.945356369018555,20.004392623901367
1089-134686-0031_61-70968-0026.wav,19.887317657470703,19.749500274658203,19.32919692993164,19.321622848510742
1089-134686-0032_4507-16021-0049.wav,24.437023162841797,24.150842666625977,23.985464096069336,23.853042602539062
1089-134686-0032_6829-68771-0030.wav,22.653532028198242,22.591943740844727,22.347333908081055,22.447185516357422
1089-134686-0033_1320-122612-0001.wav,20.333398818969727,19.868606567382812,19.77800178527832,19.553552627563477
1089-134686-0034_5639-40744-0005.wav,20.849639892578125,20.782638549804688,20.514976501464844,20.580692291259766
1089-134686-0034_8455-210777-0067.wav,20.174358367919922,20.027231216430664,19.82992935180664,19.805011749267578
1089-134686-0034_8463-294828-0036.wav,21.009601593017578,21.000816345214844,20.690868377685547,20.829139709472656
1089-134686-0035_2300-131720-0025.wav,19.73052978515625,19.36287498474121,19.29913902282715,19.308923721313477
